"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LUX","HOUSECOST","NOMINAL","IDX2015","A","2007",74.4199999979755,
"LUX","HOUSECOST","NOMINAL","IDX2015","A","2008",76.9075,
"LUX","HOUSECOST","NOMINAL","IDX2015","A","2009",76.02,
"LUX","HOUSECOST","NOMINAL","IDX2015","A","2010",80.1399999999999,
"LUX","HOUSECOST","NOMINAL","IDX2015","A","2011",83.0874999999999,
"LUX","HOUSECOST","NOMINAL","IDX2015","A","2012",86.5775,
"LUX","HOUSECOST","NOMINAL","IDX2015","A","2013",90.8925,
"LUX","HOUSECOST","NOMINAL","IDX2015","A","2014",94.8775,
"LUX","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"LUX","HOUSECOST","NOMINAL","IDX2015","A","2016",106.005,
